,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,946848513752739841,0,0,2017-12-29 21:00:51,"Après avoir publié rapports d’enquête depuis janvier, nous dirons bientôt au revoir à l’année . Nous souhaitons à tous des déplacements sécuritaires en .",[],[],avoir rapports depuis janvier nous dirons au revoir Nous souhaitons tous des placements curitaires en,"['avoir', 'rapports', 'depuis', 'janvier', 'nous', 'dirons', 'au', 'revoir', 'Nous', 'souhaitons', 'tous', 'des', 'placements', 'curitaires', 'en']","[u'avoir', u'rapport', u'depui', u'janvier', u'nous', u'diron', 'au', u'revoir', u'nous', u'souhaiton', u'tous', u'des', u'placement', u'curitair', 'en']","Après avoir publié 56 rapports d’enquête depuis janvier, nous dirons bientôt au revoir à l’année 2017. Nous souhaitons à tous des déplacements sécuritaires en 2018.",0.0,Neutral
1,1,1,946812938018541569,0,0,2017-12-29 18:39:30,"Fait intéressant : les montgolfières sont considérées comme des aéronefs au sens de la Loi sur l'aéronautique. En , le BST a émis deux recommandations pour la sécurité des ères. Neuf ans plus tard, le risque persiste",['#montgolfi'],['https://t.co/DX4spEZzri'],Fait ressant les res sont es comme des ronefs au sens de la Loi sur ronautique En le BST mis deux recommandations pour la des res Neuf ans plus tard le risque persiste,"['Fait', 'ressant', 'les', 'res', 'sont', 'es', 'comme', 'des', 'ronefs', 'au', 'sens', 'de', 'la', 'Loi', 'sur', 'ronautique', 'En', 'le', 'BST', 'mis', 'deux', 'recommandations', 'pour', 'la', 'des', 'res', 'Neuf', 'ans', 'plus', 'tard', 'le', 'risque', 'persiste']","[u'fait', u'ressant', u'les', u'res', u'sont', 'es', u'comm', u'des', u'ronef', 'au', u'sen', 'de', 'la', u'loi', u'sur', u'ronautiqu', 'en', 'le', u'bst', u'mis', u'deux', u'recommand', u'pour', 'la', u'des', u'res', u'neuf', u'an', u'plus', u'tard', 'le', u'risqu', u'persist']","Fait intéressant : les montgolfières sont considérées comme des aéronefs au sens de la Loi sur l'aéronautique. En 2008, le BST a émis deux recommandations pour la sécurité des #montgolfières. Neuf ans plus tard, le risque persiste https://t.co/DX4spEZzri",0.0,Neutral
2,2,2,946463430164262912,1,2,2017-12-28 19:30:40,"Visionnez notre toute première animation, publiée dans le cadre de l'enquête sur une sortie en bout de piste survenue à en",['#jeudisouvenir'],['https://t.co/Ip0eLCSI9s'],Visionnez notre toute animation dans le cadre de sur une sortie en bout de piste survenue en,"['Visionnez', 'notre', 'toute', 'animation', 'dans', 'le', 'cadre', 'de', 'sur', 'une', 'sortie', 'en', 'bout', 'de', 'piste', 'survenue', 'en']","[u'visionnez', u'notr', u'tout', u'anim', u'dan', 'le', u'cadr', 'de', u'sur', u'une', u'sorti', 'en', u'bout', 'de', u'pist', u'survenu', 'en']","Visionnez notre toute première animation, publiée dans le cadre de l'enquête sur une sortie en bout de piste survenue à @TorontoPearson en 2005 https://t.co/Ip0eLCSI9s #jeudisouvenir",0.0,Neutral
3,3,3,946386952483418112,0,1,2017-12-28 14:26:47,"Voyez pourquoi le transport par rail de liquides inflammables, comme le pétrole brut, à l’échelle de l’Amérique du Nord pose des risques de sécurité, et comment on peut y remédier de façon efficace",['#Listedesurveillance'],['https://t.co/atnrhgREx'],Voyez pourquoi le transport par rail de liquides inflammables comme le trole brut chelle de rique du Nord pose des risques de et comment peut dier de efficace,"['Voyez', 'pourquoi', 'le', 'transport', 'par', 'rail', 'de', 'liquides', 'inflammables', 'comme', 'le', 'trole', 'brut', 'chelle', 'de', 'rique', 'du', 'Nord', 'pose', 'des', 'risques', 'de', 'et', 'comment', 'peut', 'dier', 'de', 'efficace']","[u'voyez', u'pourquoi', 'le', u'transport', u'par', u'rail', 'de', u'liquid', u'inflamm', u'comm', 'le', u'trole', u'brut', u'chell', 'de', u'riqu', 'du', u'nord', u'pose', u'des', u'risqu', 'de', 'et', u'comment', u'peut', u'dier', 'de', u'efficac']","Voyez pourquoi le transport par rail de liquides inflammables, comme le pétrole brut, à l’échelle de l’Amérique du Nord pose des risques de sécurité, et comment on peut y remédier de façon efficace #Listedesurveillance https://t.co/atnrhgRExD",0.0,Neutral
4,4,4,946107662378455042,0,0,2017-12-27 19:56:59,"Le saviez-vous? Joseph Hincke, membre du BST, a été le premier agent de l'intégrité professionnelle de la GRC. Vous trouverez plus d’info sur les antécédents et l'eérience des membres du Bureau à même leurs biographies 1",[],['https://t.co/jImAsFybw'],Le saviez vous Joseph Hincke membre du BST le premier agent de professionnelle de la GRC Vous trouverez plus info sur les dents et rience des membres du Bureau leurs biographies,"['Le', 'saviez', 'vous', 'Joseph', 'Hincke', 'membre', 'du', 'BST', 'le', 'premier', 'agent', 'de', 'professionnelle', 'de', 'la', 'GRC', 'Vous', 'trouverez', 'plus', 'info', 'sur', 'les', 'dents', 'et', 'rience', 'des', 'membres', 'du', 'Bureau', 'leurs', 'biographies']","['le', u'saviez', u'vous', u'joseph', u'hinck', u'membr', 'du', u'bst', 'le', u'premier', u'agent', 'de', u'professionnell', 'de', 'la', u'grc', u'vous', u'trouverez', u'plus', u'info', u'sur', u'les', u'dent', 'et', u'rienc', u'des', u'membr', 'du', u'bureau', u'leur', u'biographi']","Le saviez-vous? Joseph Hincke, membre du BST, a été le premier agent de l'intégrité professionnelle de la GRC. Vous trouverez plus d’info sur les  antécédents et l'expérience des membres du Bureau à même leurs biographies https://t.co/jImAsFybw1",0.0,Neutral
5,5,5,946082738133782528,0,0,2017-12-27 18:17:56,"Plusieurs étapes doivent être franchies entre le moment où des enquêteurs sont envoyés sur les lieux de l’accident, et le moment où nous publions le rapport d’enquête. Voyez par vous-même le chemin à parcourir dans cette vidéo :",[],"['https://t.co/XpdDZmlNN6', 'https://t.co/XqXhqMXooa']",Plusieurs tapes doivent franchies entre le moment des sont sur les lieux de accident et le moment nous publions le rapport Voyez par vous le chemin parcourir dans cette,"['Plusieurs', 'tapes', 'doivent', 'franchies', 'entre', 'le', 'moment', 'des', 'sont', 'sur', 'les', 'lieux', 'de', 'accident', 'et', 'le', 'moment', 'nous', 'publions', 'le', 'rapport', 'Voyez', 'par', 'vous', 'le', 'chemin', 'parcourir', 'dans', 'cette']","[u'plusieur', u'tape', u'doivent', u'franchi', u'entr', 'le', u'moment', u'des', u'sont', u'sur', u'les', u'lieux', 'de', u'accid', 'et', 'le', u'moment', u'nous', u'publion', 'le', u'rapport', u'voyez', u'par', u'vous', 'le', u'chemin', u'parcourir', u'dan', u'cett']","Plusieurs étapes doivent être franchies entre le moment où des enquêteurs sont envoyés sur les lieux de l’accident, et le moment où nous publions le rapport d’enquête. Voyez par vous-même le chemin à parcourir dans cette vidéo : https://t.co/XpdDZmlNN6 https://t.co/XqXhqMXooa",0.0,Neutral
6,6,6,945996588010344448,1,0,2017-12-27 12:35:37,": Vous achetez un drone? Gardez-le à m d’altitude et ,5 km des aéroports. C’est la loi c https:/…",[],['https://t.co/FaY1MVGfx'],Vous achetez un drone Gardez le altitude et km des roports est la loi https,"['Vous', 'achetez', 'un', 'drone', 'Gardez', 'le', 'altitude', 'et', 'km', 'des', 'roports', 'est', 'la', 'loi', 'https']","[u'vous', u'achetez', 'un', u'drone', u'gardez', 'le', u'altitud', 'et', 'km', u'des', u'roport', u'est', 'la', u'loi', u'https']","RT @Transports_gc: Vous achetez un drone? Gardez-le à 90 m d’altitude et 5,5 km des aéroports. C’est la loi https://t.co/FaY1MVGfxc https:/…",0.0,Neutral
7,7,7,944289984214904832,0,0,2017-12-22 19:34:10,"Prenez-vous l’avion durant les Fêtes? Le cas échéant, voici quelques conseils de sécurité importants : portez attention aux consignes de sécurité fournies avant le décollage, examinez la carte des mesures de sécurité et portez des vêtements de saison.",[],['https://t.co/eP4m7Z4G4J'],Prenez vous avion durant les Le cas ant voici quelques conseils de importants portez attention aux consignes de fournies avant le collage examinez la carte des mesures de et portez des de saison,"['Prenez', 'vous', 'avion', 'durant', 'les', 'Le', 'cas', 'ant', 'voici', 'quelques', 'conseils', 'de', 'importants', 'portez', 'attention', 'aux', 'consignes', 'de', 'fournies', 'avant', 'le', 'collage', 'examinez', 'la', 'carte', 'des', 'mesures', 'de', 'et', 'portez', 'des', 'de', 'saison']","[u'prenez', u'vous', u'avion', u'durant', u'les', 'le', u'cas', u'ant', u'voici', u'quelqu', u'conseil', 'de', u'import', u'portez', u'attent', u'aux', u'consign', 'de', u'fourni', u'avant', 'le', u'collag', u'examinez', 'la', u'cart', u'des', u'mesur', 'de', 'et', u'portez', u'des', 'de', u'saison']","Prenez-vous l’avion durant les Fêtes? Le cas échéant, voici quelques conseils de sécurité importants : portez attention aux consignes de sécurité fournies avant le décollage, examinez la carte des mesures de sécurité et portez des vêtements de saison. https://t.co/eP4m7Z4G4J",0.0,Neutral
8,8,8,944246161434710018,0,0,2017-12-22 16:40:02,Poste ouvert aux employés et étudiants de la fonction publique : Adjoint(e) en ressources humaines. Joignez-vous à une équipe dynamique! Posez votre candidature avant le janvier,[],['https://t.co/GYQngN4WSx'],Poste ouvert aux et tudiants de la fonction publique Adjoint en ressources humaines Joignez vous une quipe dynamique Posez votre candidature avant le janvier,"['Poste', 'ouvert', 'aux', 'et', 'tudiants', 'de', 'la', 'fonction', 'publique', 'Adjoint', 'en', 'ressources', 'humaines', 'Joignez', 'vous', 'une', 'quipe', 'dynamique', 'Posez', 'votre', 'candidature', 'avant', 'le', 'janvier']","[u'post', u'ouvert', u'aux', 'et', u'tudiant', 'de', 'la', u'fonction', u'publiqu', u'adjoint', 'en', u'ressourc', u'humain', u'joignez', u'vous', u'une', u'quip', u'dynamiqu', u'posez', u'votr', u'candidatur', u'avant', 'le', u'janvier']",Poste ouvert aux employés et étudiants de la fonction publique : Adjoint(e) en ressources humaines. Joignez-vous à une équipe dynamique! Posez votre candidature avant le 5 janvier https://t.co/GYQngN4WSx,0.0,Neutral
9,9,9,944240333952602113,0,0,2017-12-22 16:16:53,"L'avez-vous manqué? La semaine dernière, nous avons publié notre rapport d'enquête sur la collision à un passage à niveau survenue à Sainte-Ursule (QC) en",['#ferroviaire'],['https://t.co/ajpNH8cAVI'],avez vous La semaine nous avons notre rapport sur la collision un passage niveau survenue Sainte Ursule QC en,"['avez', 'vous', 'La', 'semaine', 'nous', 'avons', 'notre', 'rapport', 'sur', 'la', 'collision', 'un', 'passage', 'niveau', 'survenue', 'Sainte', 'Ursule', 'QC', 'en']","[u'avez', u'vous', 'la', u'semain', u'nous', u'avon', u'notr', u'rapport', u'sur', 'la', u'collis', 'un', u'passag', u'niveau', u'survenu', u'saint', u'ursul', 'qc', 'en']","L'avez-vous manqué? La semaine dernière, nous avons publié notre rapport d'enquête #ferroviaire sur la collision à un passage à niveau survenue à Sainte-Ursule (QC) en 2016 https://t.co/ajpNH8cAVI",0.0,Neutral
