,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,946752722316951552,2,1,2017-12-29 14:40:13,Argo est un système international de surveillance océanographique. Découvrez comment notre rôle nous en apprend plus sur éans. Cu,['#NosOc'],"['https://t.co/IKf0LjxJAV', 'https://t.co/tR1yk0b4']",Argo est un international de surveillance anographique couvrez comment notre le nous en apprend plus sur ans Cu,"['Argo', 'est', 'un', 'international', 'de', 'surveillance', 'anographique', 'couvrez', 'comment', 'notre', 'le', 'nous', 'en', 'apprend', 'plus', 'sur', 'ans', 'Cu']","[u'argo', u'est', 'un', u'intern', 'de', u'surveil', u'anographiqu', u'couvrez', u'comment', u'notr', 'le', u'nous', 'en', u'apprend', u'plus', u'sur', u'an', 'cu']",Go est un international de surveillance anographique couvrez comment notre le nous en apparent plus sur and U,0.0,0.025,Neutral,Neutral
1,1,1,946389092803244032,0,0,2017-12-28 14:35:17,Notre hydrographe Scott Youngblut dévoile comment la cartographie du fond marin améliore la sécurité maritime :,['#Arctique'],"['https://t.co/p3PVld7uSM', 'https://t.co/Udd7zBC0HN']",Notre hydrographe Scott Youngblut voile comment la cartographie du fond marin liore la maritime,"['Notre', 'hydrographe', 'Scott', 'Youngblut', 'voile', 'comment', 'la', 'cartographie', 'du', 'fond', 'marin', 'liore', 'la', 'maritime']","[u'notr', u'hydrograph', u'scott', u'youngblut', u'voil', u'comment', 'la', u'cartographi', 'du', u'fond', u'marin', u'lior', 'la', u'maritim']",Notre hydrographe Scott Youngblut voice comment la cartographie du fond marin lore la maritime,0.0,0.0,Neutral,Neutral
2,2,2,946017913911365633,1,0,2017-12-27 14:00:21,Voici tous nos amis à fourrure repérés par voie aérienne lors d’un relevé de phoques au large du nord de Terre-Neuve-et-Labrador. Combien en comptez-vous?,[],"['https://t.co/zmplSUtAUo', 'https://t.co/P5wuxPNxbR']",Voici tous nos amis fourrure par voie rienne lors un de phoques au large du nord de Terre Neuve et Labrador Combien en comptez vous,"['Voici', 'tous', 'nos', 'amis', 'fourrure', 'par', 'voie', 'rienne', 'lors', 'un', 'de', 'phoques', 'au', 'large', 'du', 'nord', 'de', 'Terre', 'Neuve', 'et', 'Labrador', 'Combien', 'en', 'comptez', 'vous']","[u'voici', u'tous', u'nos', u'ami', u'fourrur', u'par', u'voie', u'rienn', u'lor', 'un', 'de', u'phoqu', 'au', u'larg', 'du', u'nord', 'de', u'terr', u'neuv', 'et', u'labrador', u'combien', 'en', u'comptez', u'vous']",Voice thus nos amid fourrure par voice vienna loss un de phoques au large du word de Were Nerve et Labrador Combine en comptez vous,0.21428571428571427,0.21428571428571427,Neutral,Neutral
3,3,3,945660560837894145,0,1,2017-12-26 14:20:21,Les échantillons d’eau de cette rosette à bord du NGCC Louis S. St-Laurent vont nous aider à mieux comprendre notre océan,"['#Arctique', '#ScienceArctique']","['https://t.co/UHqZzQEeSW', 'https://t.co/sQC35R5mOV']",Les chantillons eau de cette rosette bord du NGCC Louis St Laurent vont nous aider mieux comprendre notre,"['Les', 'chantillons', 'eau', 'de', 'cette', 'rosette', 'bord', 'du', 'NGCC', 'Louis', 'St', 'Laurent', 'vont', 'nous', 'aider', 'mieux', 'comprendre', 'notre']","[u'les', u'chantillon', u'eau', 'de', u'cett', u'rosett', u'bord', 'du', u'ngcc', u'loui', 'st', u'laurent', u'vont', u'nous', u'aider', u'mieux', u'comprendr', u'notr']",Yes chantillons eau de cette rosette word du NGCC Louis It Parent vent nous aide vieux comprendre notre,0.0,0.0,Neutral,Neutral
4,4,4,945328337442033667,0,0,2017-12-25 16:20:13,La voleuse d’huîtres est peut-être le Grincheux de l’. Découvrez comment cette espèce envahissante vole l’habitat de nos algues 9,['#Atlantique'],"['https://t.co/hmBVq7lYSA', 'https://t.co/rTJyIEn0B']",La voleuse tres est peut le Grincheux de couvrez comment cette ce envahissante vole habitat de nos algues,"['La', 'voleuse', 'tres', 'est', 'peut', 'le', 'Grincheux', 'de', 'couvrez', 'comment', 'cette', 'ce', 'envahissante', 'vole', 'habitat', 'de', 'nos', 'algues']","['la', u'voleus', u'tres', u'est', u'peut', 'le', u'grincheux', 'de', u'couvrez', u'comment', u'cett', 'ce', u'envahissant', u'vole', u'habitat', 'de', u'nos', u'algu']",A volume tres est put le Grincheux de couvrez comment cette ce envahissante vote habitat de nos argues,0.0,0.0,Neutral,Neutral
5,5,5,944267566159187969,0,0,2017-12-22 18:05:06,Voici nos jouets privilégiés! Ce sont les outils dont nous avons besoin pour aider nos poissons à être sains,[],"['https://t.co/OAKoLpGHiE', 'https://t.co/yASNsDjue3']",Voici nos jouets Ce sont les outils dont nous avons besoin pour aider nos poissons sains,"['Voici', 'nos', 'jouets', 'Ce', 'sont', 'les', 'outils', 'dont', 'nous', 'avons', 'besoin', 'pour', 'aider', 'nos', 'poissons', 'sains']","[u'voici', u'nos', u'jouet', 'ce', u'sont', u'les', u'outil', u'dont', u'nous', u'avon', u'besoin', u'pour', u'aider', u'nos', u'poisson', u'sain']",Voice nos joints He sont les duties dont nous among lesion pour aide nos poisons pains,0.0,0.0,Neutral,Neutral
6,6,6,944254536167907330,2,0,2017-12-22 17:13:19,: Suivez nos collègues de durant le mois de la science dans l’Arctique! …,"['#ScienceArctique', '#FollowFriday', '#FF']",[],Suivez nos gues de durant le mois de la science dans Arctique,"['Suivez', 'nos', 'gues', 'de', 'durant', 'le', 'mois', 'de', 'la', 'science', 'dans', 'Arctique']","[u'suivez', u'nos', u'gue', 'de', u'durant', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu']",Quiver nos guns de during le moist de la science dans Critique,0.0,0.0,Neutral,Neutral
7,7,7,944247767681167366,0,0,2017-12-22 16:46:25,Merci d’avoir suivi les aventures de Perlan perché répandant l’esprit des Fêtes! Nos meilleurs vœux pour !,[],['https://t.co/8WbnXCL11E'],Merci avoir suivi les aventures de Perlan pandant esprit des Nos meilleurs ux pour,"['Merci', 'avoir', 'suivi', 'les', 'aventures', 'de', 'Perlan', 'pandant', 'esprit', 'des', 'Nos', 'meilleurs', 'ux', 'pour']","[u'merci', u'avoir', u'suivi', u'les', u'aventur', 'de', u'perlan', u'pandant', u'esprit', u'des', u'nos', u'meilleur', 'ux', u'pour']",Merci avoid suite les adventures de German pandant spirit des Os meilleurs up pour,0.0,0.0,Neutral,Neutral
8,8,8,943922876507475968,2,0,2017-12-21 19:15:25,Notre Perlan perché des temps des fêtes festoie avec des baleines à bec commune sur le plateau néo-écossais au large des côtes de la Nouvelle Écosse :,[],"['https://t.co/ob3uZ8B4Ug', 'https://t.co/7pC7nDxleW']",Notre Perlan des temps des festoie avec des baleines bec commune sur le plateau cossais au large des tes de la Nouvelle cosse,"['Notre', 'Perlan', 'des', 'temps', 'des', 'festoie', 'avec', 'des', 'baleines', 'bec', 'commune', 'sur', 'le', 'plateau', 'cossais', 'au', 'large', 'des', 'tes', 'de', 'la', 'Nouvelle', 'cosse']","[u'notr', u'perlan', u'des', u'temp', u'des', u'festoi', u'avec', u'des', u'balein', u'bec', u'commune', u'sur', 'le', u'plateau', u'cossai', 'au', u'larg', u'des', u'tes', 'de', 'la', u'nouvell', u'coss']",Notre German des temps des restore avec des baleines be commune sur le plateau cossacks au large des yes de la Nouvelle copse,0.21428571428571427,0.10714285714285714,Neutral,Neutral
9,9,9,943592050745921537,1,2,2017-12-20 21:20:50,"Notre Perlan perché entonne des cantiques avec ses amis les bélugas sur le plateau Banks, dans la mer de Beaufort",[],"['https://t.co/YIRDoUvuH3', 'https://t.co/EeUoLQaR8O']",Notre Perlan entonne des cantiques avec ses amis les lugas sur le plateau Banks dans la mer de Beaufort,"['Notre', 'Perlan', 'entonne', 'des', 'cantiques', 'avec', 'ses', 'amis', 'les', 'lugas', 'sur', 'le', 'plateau', 'Banks', 'dans', 'la', 'mer', 'de', 'Beaufort']","[u'notr', u'perlan', u'entonn', u'des', u'cantiqu', u'avec', u'ses', u'ami', u'les', u'luga', u'sur', 'le', u'plateau', u'bank', u'dan', 'la', u'mer', 'de', u'beaufort']",Notre German tonne des continues avec ses amid les legs sur le plateau Ranks dans la her de Beaufort,0.0,0.0,Neutral,Neutral
