,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
16,16,485734081568161_768318576643042,2016-08-12 13:01:19,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/768318576643042/?type=3,"Améliorer la qualité de vie des aînés vivant seuls et qui sont les plus vulnérables, en augmentant la prestation complémentaire au Supplément de revenu garanti d'un montant pouvant atteindre 947 $ par année. http://ow.ly/VTY6303b7OY","Améliorer la qualité de vie des aînés vivant seuls et qui sont les plus vulnérables, en augmentant la prestation complémentaire au Supplément de revenu garanti d'un montant pouvant atteindre $ par année.",[],64,6,36,57,7,0,0,0,0,0,106,Environmental,fr,0.06280691964285715,QuestionsdargentCanada_facebook,"['or', 'air']",positive
40,40,485734081568161_763915317083368,2016-08-04 10:45:38,http://ow.ly/cfu8302K6Uw,"Vous êtes chômeur depuis quelque temps et vous êtes à la recherche d’un emploi?

Si vous recevez une prestation d’assurance-emploi (AE) ou si votre période de prestations d’AE a pris fin au cours des 36 derniers mois, vous pourriez être admissible à un programme de formation pour vous aider à trouver et à conserver un emploi.

Obtenez de l’information sur les programmes d’aide à l’emploi : http://ow.ly/cfu8302K6Uw","Vous êtes chômeur depuis quelque temps et vous êtes à la recherche d’un emploi? Si vous recevez une prestation d’assurance-emploi (AE) ou si votre période de prestations d’AE a pris fin au cours des derniers mois, vous pourriez être admissible à un programme de formation pour vous aider à trouver et à conserver un emploi. Obtenez de l’information sur les programmes d’aide à l’emploi :",[],31,3,21,30,1,0,0,0,0,0,55,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['conserve', 'or']",neutral
53,53,485734081568161_762969087177991,2016-08-02 10:45:33,http://ow.ly/M0PB302K4Rq,"#LSV : Vous avez le droit d’annuler un nouveau contrat de sans-fil et de retourner votre téléphone dans un délai de 15 jours?

Si vous n’êtes pas satisfait du service choisi, vous pouvez rapporter l’appareil et annuler votre contrat sans frais dans les 15 premiers jours suivant votre achat.

Renseignez-vous cependant sur les limites d'utilisation, et ne les dépassez pas, autrement la règle des 15 jours pourrait ne pas s’appliquer. Plus d'info sur vos droits en tant que consommateur de services sans fil : http://ow.ly/M0PB302K4Rq",": Vous avez le droit d’annuler un nouveau contrat de sans-fil et de retourner votre téléphone dans un délai de jours? Si vous n’êtes pas satisfait du service choisi, vous pouvez rapporter l’appareil et annuler votre contrat sans frais dans les premiers jours suivant votre achat. Renseignez-vous cependant sur les limites d'utilisation, et ne les dépassez pas, autrement la règle des jours pourrait ne pas s’appliquer. Plus d'info sur vos droits en tant que consommateur de services sans fil :",['#LSV'],23,0,22,23,0,0,0,0,0,0,45,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['eau', 'or', 'ice']",neutral
70,70,485734081568161_768477206627179,2016-08-12 17:45:20,,"Besoin d’un truc rapide et peu coûteux pour nettoyer votre douche?

#Conseildevie : Fabriquez votre propre produit nettoyant à peu de frais. Ajoutez 1/4 de tasse de vinaigre et 1/4 de tasse de savon à vaisselle dans une brosse à vaisselle distributrice de savon. Ce nettoyant écologique fera disparaître les taches les plus tenaces et l’écume de savon.",Besoin d’un truc rapide et peu coûteux pour nettoyer votre douche? : Fabriquez votre propre produit nettoyant à peu de frais. Ajoutez /4 de tasse de vinaigre et /4 de tasse de savon à vaisselle dans une brosse à vaisselle distributrice de savon. Ce nettoyant écologique fera disparaître les taches les plus tenaces et l’écume de savon.,['#Conseildevie'],17,0,15,17,0,0,0,0,0,0,32,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['propre', 'ice']",neutral
89,89,485734081568161_762481897226710,2016-08-01 10:45:35,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/762481897226710/?type=3,"Vos enfants se préparent pour la rentrée scolaire? Saviez-vous que le ménage canadien moyen consacre près de 1 400 $ par année pour les coûts liés à l’éducation?

Obtenez un A+ en réduisant vos dépenses pour les fournitures, les vêtements et autres articles scolaires. Suivez notre page ce mois-ci et obtenez des conseils d’épargne à l’intention des étudiants et des parents.","Vos enfants se préparent pour la rentrée scolaire? Saviez-vous que le ménage canadien moyen consacre près de $ par année pour les coûts liés à l’éducation? Obtenez un A+ en réduisant vos dépenses pour les fournitures, les vêtements et autres articles scolaires. Suivez notre page ce mois-ci et obtenez des conseils d’épargne à l’intention des étudiants et des parents.",[],20,0,10,18,0,2,0,0,0,0,30,Environmental,fr,0.0,QuestionsdargentCanada_facebook,['air'],neutral
92,92,485734081568161_763558610452372,2016-08-03 17:45:32,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/763558610452372/?type=3,"#Étudiants : Vous quittez le nid familial pour entreprendre des études collégiales ou universitaires?

Qu’il s’agisse de louer un appartement seul ou avec d’autres personnes, il y a plusieurs points à considérer avant d’opter pour un type de logement.

Informez-vous des dépenses liées au déménagement et de ce que cela peut vous coûter de vivre seul : http://ow.ly/NVjb302K6wo","Étudiants : Vous quittez le nid familial pour entreprendre des études collégiales ou universitaires? Qu’il s’agisse de louer un appartement seul ou avec d’autres personnes, il y a plusieurs points à considérer avant d’opter pour un type de logement. Informez-vous des dépenses liées au déménagement et de ce que cela peut vous coûter de vivre seul :",['#'],13,0,16,12,1,0,0,0,0,0,29,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['or', 'air']",neutral
102,102,485734081568161_779060148902218,2016-08-31 17:45:31,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/779060148902218/?type=3,"Une foule d’entreprises offrent des rabais aux #étudiants. N’oubliez pas de montrer votre carte d’étudiant pour #Économiser5. 

Demandez à votre association étudiante de vous fournir la liste des entreprises locales qui offrent des rabais aux étudiants.

Autres conseils d’épargne pour étudiants : http://ow.ly/oGyW303CR6i",Une foule d’entreprises offrent des rabais aux étudiants. N’oubliez pas de montrer votre carte d’étudiant pour Économiser5. Demandez à votre association étudiante de vous fournir la liste des entreprises locales qui offrent des rabais aux étudiants. Autres conseils d’épargne pour étudiants :,"['#', '#']",9,0,19,9,0,0,0,0,0,0,28,Social,fr,0.0,QuestionsdargentCanada_facebook,"['locale', 'local']",neutral
107,107,485734081568161_764074227067477,2016-08-08 10:45:00,https://www.facebook.com/QuestionsdargentCanada/videos/764074227067477/,"#Saviezvous qu’une voiture neuve peut perdre  jusqu’à 40 % de sa valeur durant les deux premières années d’utilisation?

En étalant le remboursement de votre prêt automobile sur une plus longue période, vous réduisez vos  paiements mensuels, mais vous prolongez aussi la période pendant laquelle votre voiture vaut moins que le montant à rembourser.

Apprenez-en davantage sur le financement d’une voiture : http://ow.ly/murX302WmOK","qu’une voiture neuve peut perdre jusqu’à % de sa valeur durant les deux premières années d’utilisation? En étalant le remboursement de votre prêt automobile sur une plus longue période, vous réduisez vos paiements mensuels, mais vous prolongez aussi la période pendant laquelle votre voiture vaut moins que le montant à rembourser. Apprenez-en davantage sur le financement d’une voiture :",['#Saviezvous'],15,0,12,15,0,0,0,0,0,0,27,Economical,fr,0.0,QuestionsdargentCanada_facebook,"['financement', 'finance']",neutral
108,108,485734081568161_766250066849893,2016-08-08 17:45:23,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/766250066849893/?type=3,"N’importe qui peut ouvrir un régime enregistré d’épargne-études (REEE) pour un enfant — un parent, des grands-parents, d’autres membres de la famille ou des amis. Tout ce dont votre enfant a besoin, c’est d’un numéro d’assurance sociale!

Apprenez-en davantage sur les différents types de REEE : http://ow.ly/rWWF302YmFO","N’importe qui peut ouvrir un régime enregistré d’épargne-études (REEE) pour un enfant — un parent, des grands-parents, d’autres membres de la famille ou des amis. Tout ce dont votre enfant a besoin, c’est d’un numéro d’assurance sociale! Apprenez-en davantage sur les différents types de REEE :",[],23,0,4,23,0,0,0,0,0,0,27,Social,fr,0.0,QuestionsdargentCanada_facebook,"['ami', 'famille']",neutral
128,128,485734081568161_769942803147286,2016-08-15 10:45:35,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/769942803147286/?type=3,"Vos dettes croissantes vous accablent, et vous ne savez pas où trouver de l’aide? 

Contactez Conseil en crédit du Canada, une association à but non lucratif qui offre des conseils en matière de crédit. Leurs conseillers vont vous offrir un plan adapté à votre situation. 

Trouvez un conseiller qualifié dans votre région : http://ow.ly/efOo303bwoY","Vos dettes croissantes vous accablent, et vous ne savez pas où trouver de l’aide? Contactez Conseil en crédit du Canada, une association à but non lucratif qui offre des conseils en matière de crédit. Leurs conseillers vont vous offrir un plan adapté à votre situation. Trouvez un conseiller qualifié dans votre région :",[],18,0,6,17,0,0,0,1,0,0,24,unknown,fr,0.0,QuestionsdargentCanada_facebook,,neutral
