,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
17,17,806193327209058306,2016-12-06 17:47:22,"['https://t.co/wfxjUPB3EV', 'https://t.co/WHtH\xe2\x80\xa6']",RT @ScienceMin: #Canadians: apply to be the Chief #ScienceAdvisor for #GoC  https://t.co/wfxjUPB3EV #SciPol #CdnSci #Jobs https://t.co/WHtH…,RT ScienceMin Canadians apply Chief ScienceAdvisor GoC https co wfxjUPB3EV SciPol CdnSci Jobs https co,"['#Canadians', '#ScienceAdvisor', '#GoC', '#SciPol', '#CdnSci', '#Jobs']",114,0,114,Economical,en,0.0,Neutral,DFO_Science_tweeter,['jobs']
46,46,804370820474793984,2016-12-01 17:05:22,['https://t.co/GpeqvJ7cpf'],#DYK December is Arctic Science Month? Join us in celebrating Canada’s Northern research with the hashtag #ArcticScience https://t.co/GpeqvJ7cpf,DYK December Arctic Science Month Join us celebrating Northern research hashtag ArcticScience https co GpeqvJ7cpf,"['#DYK', '#ArcticScience']",32,25,57,Economical,en,0.0,Neutral,DFO_Science_tweeter,"['arctic', 'northern']"
99,99,810146340508409856,2016-12-17 15:35:14,['https://t.co/ZReZajn2Gz'],This ice-tethered profile was stuck in ice for 2 years collecting oceanographic data for the annual #JOIS mission #ArcticScience https://t.co/ZReZajn2Gz,ice tethered profile stuck ice years collecting oceanographic data annual JOIS mission ArcticScience https co ZReZajn2Gz,"['#JOIS', '#ArcticScience']",14,24,38,Economical,en,0.0,Neutral,DFO_Science_tweeter,['arctic']
127,127,808319498696658944,2016-12-12 14:36:00,['https://t.co/tIrqeel'],RT @NRCan: Would you spend 47 days on a ship in #ArcticOcean? Our scientists did...learn why https://t.co/tIrqeel8u0 #ArcticScience @Canada…,RT NRCan Would spend 47 days ship ArcticOcean scientists learn https co tIrqeel8u0 ArcticScience,"['#ArcticOcean', '#ArcticScience']",35,0,35,Economical,en,0.0,Neutral,DFO_Science_tweeter,['arctic']
138,138,808427889007984640,2016-12-12 21:46:43,['https://t.co/2h2l1HN5yJ'],RT @NRCan: Mission accomplished! 2016 was the final Arctic survey to map Canada's outer ocean floor limits https://t.co/2h2l1HN5yJ #ArcticS…,RT NRCan Mission accomplished 2016 final Arctic survey map Canada outer ocean floor limits https co 2h2l1HN5yJ,['#ArcticS'],33,0,33,Economical,en,0.125,Neutral,DFO_Science_tweeter,['arctic']
157,157,804401218168750082,2016-12-01 19:06:10,"['https://t.co/BamMemYl2O', 'https://t.co/h22LpgL6Lm']",RT @NOAACoral: DYK that shallow #coralreefs are essential fish habitat? https://t.co/BamMemYl2O #CoralsWeek https://t.co/h22LpgL6Lm,RT NOAACoral DYK shallow coralreefs essential fish habitat https co BamMemYl2O CoralsWeek https co h22LpgL6Lm,"['#coralreefs', '#CoralsWeek']",31,0,31,Environmental,en,-0.16666666666666666,Neutral,DFO_Science_tweeter,['or']
163,163,811920528025985024,2016-12-22 13:05:13,['https://t.co/CDW3vOit7t'],"On the 1st day of #Fishmas, my true love gave to me an icebreaker named the Louis @CCG_GCC #LSSL https://t.co/CDW3vOit7t",1st day Fishmas true love gave icebreaker named Louis LSSL https co CDW3vOit7t,"['#Fishmas', '#LSSL']",11,20,31,Environmental,en,0.425,Positive,DFO_Science_tweeter,['ice']
166,166,812277899810271232,2016-12-23 12:45:17,['https://t.co/qSlBpZ9j'],"On the 5th day of #Fishmas, my true love gave to me 5 scientists!, 4 stellar sea lions, 3 rosettes… &amp; an icebreaker named the Louis https://t.co/qSlBpZ9j99",5th day Fishmas true love gave scientists stellar sea lions amp icebreaker named Louis https co qSlBpZ9j99,['#Fishmas'],12,18,30,Environmental,en,0.4083333333333334,Positive,DFO_Science_tweeter,['ice']
170,170,808741116975710208,2016-12-13 18:31:22,['https://t.co/0NkJek3BBE'],Why is #UNCLOS so important for Canadians? Watch to find out #ArcticScience https://t.co/0NkJek3BBE,UNCLOS important Canadians Watch find ArcticScience https co 0NkJek3BBE,"['#UNCLOS', '#ArcticScience']",19,11,30,Economical,en,0.4,Positive,DFO_Science_tweeter,"['import', 'arctic']"
172,172,812352151515185152,2016-12-23 17:40:20,['https://t.co/v7yTj2W9gq'],"On the 7th day of #Fishmas, my true love gave to me 7 sea stars stirring, 6 grey seals laying… &amp; an icebreaker named the Louis https://t.co/v7yTj2W9gq",7th day Fishmas true love gave sea stars stirring grey seals amp icebreaker named Louis https co v7yTj2W9gq,['#Fishmas'],12,17,29,Environmental,en,0.26666666666666666,Neutral,DFO_Science_tweeter,['ice']
