,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,815581018904268800,2017-01-01 15:30:42,[],Bonne &amp; heureuse année! Que 2017 soit une autre merveilleuse année pour la science! 🎊,Bonne amp heureuse Que 2017 soit une autre merveilleuse pour la science,[],Social,7,0.0,fr,MPO_Science_tweeter
1,824275259704614912,2017-01-25 15:18:30,"['https://t.co/TM25GbI5NQ', 'https://t.co/tKyAyZz1Ts']","MPO fait des recherches sur la biodiv., eau douce, océans, habitat du poisson, espèces envahis. &amp; génomique: https://t.co/TM25GbI5NQ #CdnSci https://t.co/tKyAyZz1Ts",MPO fait des recherches sur la biodiv eau douce ans habitat du poisson ces envahis amp nomique https co TM25GbI5NQ CdnSci https co tKyAyZz1Ts,['#CdnSci'],Environmental,6,0.0,fr,MPO_Science_tweeter
2,816725242429263878,2017-01-04 19:17:26,['https://t.co/MOEbY0gTIT\xe2\x80\xa6'],RT @MindesSciences: À la recherche d’un #conseillerscientifique en chef pour le #GC! Postulez d’ici le 27 janvier : https://t.co/MOEbY0gTIT…,RT MindesSciences la recherche un conseillerscientifique en chef pour le GC Postulez ici le 27 janvier https co,"['#conseillerscientifique', '#GC']",Social,5,0.0,fr,MPO_Science_tweeter
3,815949589874405377,2017-01-02 15:55:16,['https://t.co/tNiRVr4tgv'],Paola Travaglini du MPO interviewée à bord #LouisSStLaurent sur son temps comme hydrographe en charge de la mission UNCLOS 2016 #CanArctique https://t.co/tNiRVr4tgv,Paola Travaglini du MPO bord LouisSStLaurent sur son temps comme hydrographe en charge de la mission UNCLOS 2016 CanArctique https co tNiRVr4tgv,"['#LouisSStLaurent', '#CanArctique']",Environmental,5,0.0,fr,MPO_Science_tweeter
4,819267695715774464,2017-01-11 19:40:14,['https://t.co/tIMm5KF'],Fait amusant : Ces 3 scientifiques du MPO ont reçu leur diplôme du même lab @UMontreal sur une période de 20 ans #CCFFR2017 https://t.co/tIMm5KF902,Fait amusant Ces scientifiques du MPO ont leur du lab UMontreal sur une riode de 20 ans CCFFR2017 https co tIMm5KF902,['#CCFFR2017'],Social,4,0.0,fr,MPO_Science_tweeter
5,816357734853517312,2017-01-03 18:57:05,[],"RT @MPO_MAR: S.­O. de la N.­É. : MPO, @ACIA_Animaux et @environnementca enquêtent sur les causes de mortalité massive de harengs et d’autre…",RT de la MPO et environnementca sur les causes de massive de harengs et,[],Environmental,4,0.0,fr,MPO_Science_tweeter
6,823943242261598208,2017-01-24 17:19:11,['https://t.co/Il7WfLlVIY'],Le #LouisSStLaurent capture cet arc de cristal de glace créé de la réfraction de la lumière sur l’air humide de l’océan dans le #Arctique https://t.co/Il7WfLlVIY,Le LouisSStLaurent capture cet arc de cristal de glace de la fraction de la sur air humide de dans le Arctique https co Il7WfLlVIY,"['#LouisSStLaurent', '#Arctique']",Environmental,3,0.0,fr,MPO_Science_tweeter
7,821727685936377860,2017-01-18 14:35:21,['https://t.co/dZEKFU4z5'],Notre chercheur Igor Yashayaev décrit l’importance de surveiller les océans pour mieux cerner &amp; prévoir tout changement dans nos #océansCdn https://t.co/dZEKFU4z5C,Notre chercheur Igor Yashayaev crit importance de surveiller les ans pour mieux cerner amp voir tout changement dans nos ansCdn https co dZEKFU4z5C,['#oc'],Social,3,0.0,fr,MPO_Science_tweeter
8,821430575844229121,2017-01-17 18:54:45,"['https://t.co/BxvhMvh2VN', 'https://t.co/f3NtlReQuY']",Plus de 100 employés par année plongent avec notre programme de sécurité en plongée https://t.co/BxvhMvh2VN https://t.co/f3NtlReQuY,Plus de 100 par plongent avec notre programme de en https co BxvhMvh2VN https co f3NtlReQuY,[],Social,3,0.0,fr,MPO_Science_tweeter
9,823580361334657024,2017-01-23 17:17:14,"['https://t.co/tLv0zEoeYp', 'https://t.co/pcYFFTqtNa']",L’Institut océanographique de Bedford dirige la recherche sur les océans depuis plus de 50 ans. https://t.co/tLv0zEoeYp #SciCdn #SciOcéan https://t.co/pcYFFTqtNa,Institut anographique de Bedford dirige la recherche sur les ans depuis plus de 50 ans https co tLv0zEoeYp SciCdn https co pcYFFTqtNa,"['#SciCdn', '#SciOc']",Environmental,2,0.0,fr,MPO_Science_tweeter
