,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,315919208830119_373190293103010,2017-10-28 15:00:14,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/373190293103010/?type=3,"Over 5% of Canada’s oceans are now protected! We just reached and surpassed our national marine conservation target of protecting 5% of our marine and coastal areas by 2017 with the establishment of new marine refuges off the coast of British Columbia and Quebec. 🌊
Over the past year we have made huge strides in ocean protection. Creating three new Marine Protected Areas, marine refuges, and identifying a new Area of Interest. We’re on track to meet our goal of protecting 10% of Canadian oceans by 2020. http://ow.ly/7ILY30gc6Mi","Over % of Canada’s oceans are now protected! We just reached and surpassed our national marine conservation target of protecting % of our marine and coastal areas by with the establishment of new marine refuges off the coast of British Columbia and Quebec. Over the past year we have made huge strides in ocean protection. Creating three new Marine Protected Areas, marine refuges, and identifying a new Area of Interest. We’re on track to meet our goal of protecting % of Canadian oceans by .",[],Environmental,287,0.17917410714285714,en,FisheriesOceansCanada_facebook
1,315919208830119_367619266993446,2017-10-12 15:11:28,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/367619266993446/?type=3,Our researchers equipped narwhals with satellite transmitters as part of the Tremblay Sound research project in Nunavut. The map shows the movement of 18 narwhals during September 8-22. Narwhal #4 covered 540 km during those two weeks 😮. Click here to view the full interactive map: http://ow.ly/RUXW30fQ3Ay,Our researchers equipped narwhals with satellite transmitters as part of the Tremblay Sound research project in Nunavut. The map shows the movement of narwhals during September -22. Narwhal covered km during those two weeks . Click here to view the full interactive map:,['#4'],Social,132,0.13466666666666666,en,FisheriesOceansCanada_facebook
2,315919208830119_369979503424089,2017-10-19 12:33:28,https://www.facebook.com/FisheriesOceansCanada/videos/369979503424089/,"The Bedford Institute of Oceanography in Dartmouth, Nova Scotia recently hosted over 23,000 visitors during their open house. If you missed it, take a virtual tour of Canada’s largest ocean research facility today! http://ow.ly/TyqF30fZNUf","The Bedford Institute of Oceanography in Dartmouth, Nova Scotia recently hosted over ,000 visitors during their open house. If you missed it, take a virtual tour of Canada’s largest ocean research facility today!",[],Environmental,129,0.2458333333333333,en,FisheriesOceansCanada_facebook
3,315919208830119_367492367006136,2017-10-12 08:36:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/367492300339476/?type=3,"We all have a responsibility to protect and maintain our outdoors. Each year, Fishery Officers lay charges for illegal fishing, damage to fish habitat, polluting and disturbing marine mammals. If you witness a fisheries violation, please report it. You can contact our department directly by calling the local Fisheries and Oceans Canada office in your area: http://ow.ly/3T6P30fLWWR  

In any province or territory you can also call Crime Stoppers at 1-800-222-TIPS (8477) which is an anonymous service.","We all have a responsibility to protect and maintain our outdoors. Each year, Fishery Officers lay charges for illegal fishing, damage to fish habitat, polluting and disturbing marine mammals. If you witness a fisheries violation, please report it. You can contact our department directly by calling the local Fisheries and Oceans Canada office in your area: In any province or territory you can also call Crime Stoppers at -800-222-TIPS (8477) which is an anonymous service.",[],Environmental,127,0.08865079365079367,en,FisheriesOceansCanada_facebook
4,315919208830119_368926550196051,2017-10-18 08:23:01,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/368925793529460/?type=3,"In partnership with Dalhousie University, our scientists recently identified over 100 deep-sea fish species from the Gully Marine Protected Area using DNA barcoding. Check out what they found: http://ow.ly/L5qg30fUqvw","In partnership with Dalhousie University, our scientists recently identified over deep-sea fish species from the Gully Marine Protected Area using DNA barcoding. Check out what they found:",[],Environmental,111,0.0,en,FisheriesOceansCanada_facebook
5,315919208830119_364162607339112,2017-10-06 12:33:01,https://www.facebook.com/FisheriesOceansCanada/videos/364162607339112/,Ever wonder what our scientists are talking about? We asked some of our experts in Newfoundland and Labrador to define a scientific word of the day.,Ever wonder what our scientists are talking about? We asked some of our eerts in Newfoundland and Labrador to define a scientific word of the day.,[],Environmental,88,0.5,en,FisheriesOceansCanada_facebook
6,315919208830119_367273133694726,2017-10-11 11:52:43,https://www.facebook.com/FisheriesOceansCanada/videos/367273133694726/,DFO scientist emeritus Dr. John Ford is the keynote speaker today at the Southern Resident Killer Whale Symposium in Vancouver http://ow.ly/5Pg830fO16M,DFO scientist emeritus Dr. John Ford is the keynote speaker today at the Southern Resident Killer Whale Symposium in Vancouver,[],Environmental,84,0.0,en,FisheriesOceansCanada_facebook
7,315919208830119_367973360291370,2017-10-16 07:45:01,https://www.facebook.com/FisheriesOceansCanada/videos/367973360291370/,"It’s hard work, but stock surveying is one of our most critical functions. Monitoring our fish populations helps ensure the sustainability of our marine environments and commercial fisheries. Learn more about the challenges of stock assessment. http://ow.ly/oNRv30fRLUW","It’s hard work, but stock surveying is one of our most critical functions. Monitoring our fish populations helps ensure the sustainability of our marine environments and commercial fisheries. Learn more about the challenges of stock assessment.",[],Environmental,82,0.0,en,FisheriesOceansCanada_facebook
8,315919208830119_366984113723628,2017-10-10 18:01:57,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/366984023723637/?type=3,"The Pacific Salmon Foundation is receiving $1.2 million over three years to help restore salmon populations in British Columbia. As part of the Coastal Restoration Fund, this funding will expand the Pacific Salmon Explorer project, which identifies key threats and pressures hindering the recovery of important salmon populations. Learn more: http://ow.ly/jXlt30fMUg5","The Pacific Salmon Foundation is receiving $1.2 million over three years to help restore salmon populations in British Columbia. As part of the Coastal Restoration Fund, this funding will eand the Pacific Salmon Elorer project, which identifies key threats and pressures hindering the recovery of important salmon populations. Learn more:",[],Environmental,80,0.02656565656565657,en,FisheriesOceansCanada_facebook
9,315919208830119_364175790671127,2017-10-05 07:53:58,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/364175497337823/?type=3,"Small mussel, big problem. Did you know that Zebra Mussels are capable of heavily colonizing hard and soft surfaces like docks, boats and beaches? They can clog intake structures in power stations and water treatment plants and cause millions of dollars in damages. Zebra Mussels are found throughout all the Great Lakes. 

They are an average of 2-2.5 cm, reaching up to 4 cm long, triangular in shape, and are black or brown with white to yellow zigzagged patterns. If you think you’ve seen or caught a Zebra Mussel where they are not known to occur:
*Do not release it into the water.
*Catch it and keep it frozen. If you can’t do that, destroy it.
*Note the location (with GPS coordinates if possible) as well as the observation date.
*Contact Fisheries and Oceans Canada: http://ow.ly/v6nI30fzR1P
Click here for more information about this Aquatic Invasive Species: http://ow.ly/XWGZ30fzR9Q","Small mussel, big problem. Did you know that Zebra Mussels are capable of heavily colonizing hard and soft surfaces like docks, boats and beaches? They can clog intake structures in power stations and water treatment plants and cause millions of dollars in damages. Zebra Mussels are found throughout all the Great Lakes. They are an average of -2.5 cm, reaching up to cm long, triangular in shape, and are black or brown with white to yellow zigzagged patterns. If you think you’ve seen or caught a Zebra Mussel where they are not known to occur: *Do not release it into the water. *Catch it and keep it frozen. If you can’t do that, destroy it. *Note the location (with GPS coordinates if possible) as well as the observation date. *Contact Fisheries and Oceans Canada: Click here for more information about this Aquatic Invasive Species:",[],Environmental,70,0.3394781144781145,en,FisheriesOceansCanada_facebook
