,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,751135012796428288,2016-07-07 19:25:17,['https://t.co/sm0v8sg3HN'],Chair and CEO Scott Streiner is speaking at #PSCC16 about modernizing Canada's transportation regulations #WestCdnAg https://t.co/sm0v8sg3HN,Chair CEO Scott Streiner speaking PSCC16 modernizing Canada transportation regulations WestCdnAg https co sm0v8sg3HN,"['#PSCC16', '#WestCdnAg']",Environmental,3,0.0,en,CTA_gc_tweeter
1,755428382205177856,2016-07-19 15:45:36,['https://t.co/ieSpyqcy9x'],The Canadian Transportation Agency is #modernizing its #regulations: https://t.co/ieSpyqcy9x #cdnpoli #cdntravel #accessibility #accessible,Canadian Transportation Agency modernizing regulations https co ieSpyqcy9x cdnpoli cdntravel accessibility accessible,"['#modernizing', '#regulations', '#cdnpoli', '#cdntravel', '#accessibility', '#accessible']",Economical,3,0.375,en,CTA_gc_tweeter
2,755755695698509824,2016-07-20 13:26:13,"['https://t.co/O1xMnmbOFS', 'https://t.co/LnpyAay6gt']",RT @MBCooperator: CTA president says regulatory agency open for business. https://t.co/O1xMnmbOFS  #grain #cdnag https://t.co/LnpyAay6gt,RT MBCooperator CTA president says regulatory agency open business https co O1xMnmbOFS grain cdnag https co LnpyAay6gt,"['#grain', '#cdnag']",Environmental,3,0.0,en,CTA_gc_tweeter
3,754683366885187584,2016-07-17 14:25:10,['https://t.co/iYXxCVf82K'],Should #accessibility-related standards be more widely applied? https://t.co/iYXxCVf82K #cdnpoli #transportation,accessibility related standards widely applied https co iYXxCVf82K cdnpoli transportation,"['#accessibility', '#cdnpoli', '#transportation']",Economical,3,0.2,en,CTA_gc_tweeter
4,757189115364384768,2016-07-24 12:22:07,['https://t.co/InXrIH6bA4'],#SundayMorning #CdnTravel https://t.co/InXrIH6bA4,SundayMorning CdnTravel https co InXrIH6bA4,"['#SundayMorning', '#CdnTravel']",Environmental,2,0.0,en,CTA_gc_tweeter
5,753934716999503872,2016-07-15 12:50:18,['https://t.co/SJ8pArLg5g'],#VacationWoes - Airline lost your baggage? Find out more here: https://t.co/SJ8pArLg5g #cdntravel #Canada #facilitation,VacationWoes Airline lost baggage Find https co SJ8pArLg5g cdntravel Canada facilitation,"['#VacationWoes', '#cdntravel', '#Canada', '#facilitation']",Environmental,2,0.5,en,CTA_gc_tweeter
6,752609688567549952,2016-07-11 21:05:07,['https://t.co/DXsQl9faNO'],RT @NewsroomGC: .@CTA_gc &amp; @STBDOT discuss formal agreement for sharing #rail and #westcdnag data https://t.co/DXsQl9faNO,RT NewsroomGC amp STBDOT discuss formal agreement sharing rail westcdnag data https co DXsQl9faNO,"['#rail', '#westcdnag']",Environmental,2,0.0,en,CTA_gc_tweeter
7,752852795095715840,2016-07-12 13:11:08,['https://t.co/Exy10GiTII'],RT @STBDOT: STB Chairman Elliott Meeting with Canadian Transportation Agency... https://t.co/Exy10GiTII,RT STBDOT STB Chairman Elliott Meeting Canadian Transportation Agency https co Exy10GiTII,[],Environmental,1,0.0,en,CTA_gc_tweeter
8,754008851867963392,2016-07-15 17:44:53,"['https://t.co/C86D31syua', 'https://t.co/GzmnhG2oDX']",.@CTA_gc finds improved web #accessibility for #transportation providers: https://t.co/C86D31syua #a11y https://t.co/GzmnhG2oDX,finds improved web accessibility transportation providers https co C86D31syua a11y https co GzmnhG2oDX,"['#accessibility', '#transportation', '#a11y']",Economical,1,0.0,en,CTA_gc_tweeter
9,752865854082121728,2016-07-12 14:03:01,['https://t.co/ieSpyqcy9x'],Keeping #Canada's #transportation network running smoothly is in everyone's best interests: https://t.co/ieSpyqcy9x #consultations #cdnpoli,Keeping Canada transportation network running smoothly everyone best interests https co ieSpyqcy9x consultations cdnpoli,"['#Canada', '#transportation', '#consultations', '#cdnpoli']",Economical,1,0.7,en,CTA_gc_tweeter
