,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
163,163,134615279898518_1302879106405457,2016-03-18 08:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1302848899741811/?type=3,"Joyeux Vendredi Photo des Abonnés! 
Ces photos magnifiques nous viennent de Pure Nature by Wendy Erlendson. Elles sont accompagnées des légendes suivantes : « Journée glaciale dans le Parc national du Mont-Riding » et « Beauté dans le parc »

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.","Joyeux Vendredi Photo des Abonnés! Ces photos magnifiques nous viennent de Pure Nature by Wendy Erlendson. Elles sont accompagnées des légendes suivantes : « Journée glaciale dans le Parc national du Mont-Riding » et « Beauté dans le parc » Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.",[],52,0,5,51,1,0,0,0,0,0,57,Environmental,fr,0.0,ParcsCanada_facebook,"['eau', 'mer', 'parc', 'nature']",neutral
165,165,134615279898518_1293263200700381,2016-03-03 11:25:48,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1293263200700381/?type=3,"Joyeuse Journée internationale de la vie sauvage! Fait amusant : Pour protéger les baleines, comme le béluga du Saint-Laurent et le rorqual bleu, notre équipe étudie… leur nourriture!

Pourquoi? Pour déterminer où se trouvent les aires d’alimentation. Cette information a ensuite été partagée avec l’industrie du transport maritime, laquelle a accepté de réduire la vitesse des navires dans les principales aires d’alimentation afin de réduire les risques de collision avec les baleines. Il s’agit d’un excellent exemple de la façon dont Parcs Canada est un chef de file en utilisant la science au service de la protection de la faune.

Afin d’en apprendre davantage au sujet de cette initiative et d’autres histoires à succès de Parcs Canada concernant les espèces en péril, veuillez consulter notre site Web : http://www.pc.gc.ca/fra/nature/eep-sar/itm11.aspx.","Joyeuse Journée internationale de la vie sauvage! Fait amusant : Pour protéger les baleines, comme le béluga du Saint-Laurent et le rorqual bleu, notre équipe étudie… leur nourriture! Pourquoi? Pour déterminer où se trouvent les aires d’alimentation. Cette information a ensuite été partagée avec l’industrie du transport maritime, laquelle a accepté de réduire la vitesse des navires dans les principales aires d’alimentation afin de réduire les risques de collision avec les baleines. Il s’agit d’un excellent exemple de la façon dont Parcs Canada est un chef de file en utilisant la science au service de la protection de la faune. Afin d’en apprendre davantage au sujet de cette initiative et d’autres histoires à succès de Parcs Canada concernant les espèces en péril, veuillez consulter notre site Web : .",[],50,1,5,46,4,0,0,0,0,0,56,Environmental,fr,0.0,ParcsCanada_facebook,"['faune', 'parc', 'or', 'ice', 'air']",neutral
199,199,134615279898518_1293373170689384,2016-03-04 11:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1293373170689384/?type=3,"Joyeux Vendredi Photo des Abonnés! 
Cette impressionnante photo nous vient de Randy K., accompagnée de la légende suivante : « Un orignal dans le Parc national du Mont-Riding au Manitoba. L’endroit rêvé pour un photographe de la faune! »

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.","Joyeux Vendredi Photo des Abonnés! Cette impressionnante photo nous vient de Randy K., accompagnée de la légende suivante : « Un orignal dans le Parc national du Mont-Riding au Manitoba. L’endroit rêvé pour un photographe de la faune! » Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.",[],44,0,8,43,1,0,0,0,0,0,52,Environmental,fr,0.0,ParcsCanada_facebook,"['parc', 'or', 'faune', 'mer']",neutral
213,213,134615279898518_1292081494151885,2016-03-03 18:30:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1292081494151885/?type=3,"Saviez-vous que demain est la Journée nationale de déconnexion? On ferme le portable, on laisse le téléphone intelligent à la maison et on se « branche » sur la nature!

Serez-vous capable de relever le défi et de vous « débranchez » pendant 24 heures?

Photo prise au Parc National du Mont-Revelstoke. Parcs nationaux du Mont-Revelstoke et des Glaciers","Saviez-vous que demain est la Journée nationale de déconnexion? On ferme le portable, on laisse le téléphone intelligent à la maison et on se « branche » sur la nature! Serez-vous capable de relever le défi et de vous « débranchez » pendant heures? Photo prise au Parc National du Mont-Revelstoke. Parcs nationaux du Mont-Revelstoke et des Glaciers",[],24,2,23,21,3,0,0,0,0,0,49,Environmental,fr,0.0,ParcsCanada_facebook,"['parc', 'or', 'nature']",neutral
231,231,134615279898518_1298414196851948,2016-03-12 14:20:01,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1298414196851948/?type=3,"N'oubliez pas d'avancer vos horloges demain! 
#HeureÉté",N'oubliez pas d'avancer vos horloges demain! Été,['#Heure'],40,0,7,39,1,0,0,0,0,0,47,Environmental,fr,0.0,ParcsCanada_facebook,['or'],neutral
253,253,134615279898518_1291943084165726,2016-03-02 08:05:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1291943084165726/?type=3,"« Aujourd’hui, c’est ton jour! Ta montagne attend. Alors… mets-toi en route! » #JournéeDrSeuss

Cette photo a été prise au parc national Kluane. Parcs Canada Yukon","« Aujourd’hui, c’est ton jour! Ta montagne attend. Alors… mets-toi en route! » éeDrSeuss Cette photo a été prise au parc national Kluane. Parcs Canada Yukon",['#Journ'],39,0,4,37,2,0,0,0,0,0,43,Environmental,fr,0.0,ParcsCanada_facebook,"['parc', 'or']",neutral
260,260,134615279898518_1302830943076940,2016-03-21 10:35:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1302830943076940/?type=3,"Bonne #JournéeInternationaleDesForêts! 

Profitez du calme de la #forêt aujourd'hui! 

Photo prise à la Réserve de parc national Pacific Rim",Bonne éeInternationaleDesForêts! Profitez du calme de la êt aujourd'hui! Photo prise à la Réserve de parc national Pacific Rim,"['#Journ', '#for']",35,0,7,34,1,0,0,0,0,0,42,Environmental,fr,0.0,ParcsCanada_facebook,"['parc', 'or']",neutral
265,265,134615279898518_1302825013077533,2016-03-17 09:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1302825013077533/?type=3,"Joyeuse #StPatrick! 

Cette photo de la croix celtique, située au LHN de la Grosse-Île-et-le-Mémorial-des-Irlandais, honore la mémoire des immigrants #irlandais qui ont été mis en quarantaine sur cette île. 

Pour plus d'information: http://www.pc.gc.ca/fra/lhn-nhs/qc/grosseile/index.aspx","Joyeuse ! Cette photo de la croix celtique, située au LHN de la Grosse-Île-et-le-Mémorial-des-Irlandais, honore la mémoire des immigrants qui ont été mis en quarantaine sur cette île. Pour plus d'information:","['#StPatrick', '#irlandais']",30,0,11,30,0,0,0,0,0,0,41,Environmental,fr,0.0,ParcsCanada_facebook,['or'],neutral
325,325,134615279898518_1297628520263849,2016-03-14 13:30:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1297628520263849/?type=3,"Le 23 mars, nous vous invitons à participer à notre premier Google #Hangout afin de souligner le lancement de l’exposition #SurLesTracesDeFranklin. 

Apprenez en plus sur le #HMSErebus grâce à un aperçu exclusif d'artefacts jamais présentés en public et une présentation spéciale qui saura piquer votre curiosité.

Ne manquez pas cette chance! 
http://www.pc.gc.ca/fra/culture/franklin/index.aspx","Le mars, nous vous invitons à participer à notre premier Google afin de souligner le lancement de l’eition . Apprenez en plus sur le grâce à un aperçu exclusif d'artefacts jamais présentés en public et une présentation spéciale qui saura piquer votre curiosité. Ne manquez pas cette chance!","['#Hangout', '#SurLesTracesDeFranklin', '#HMSErebus']",16,0,19,15,1,0,0,0,0,0,35,unknown,fr,0.0,ParcsCanada_facebook,,neutral
376,376,134615279898518_1313771078649593,2016-03-27 06:30:01,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1313771078649593/?type=3,"Joyeuses Pâques!
Ce week-end, c’est le temps de se rapprocher de la famille et de planifier de futures aventures. http://ow.ly/ZXfpa","Joyeuses Pâques! Ce week-end, c’est le temps de se rapprocher de la famille et de planifier de futures aventures.",[],29,1,3,27,2,0,0,0,0,0,33,Social,fr,0.0,ParcsCanada_facebook,"['ami', 'future', 'famille', 'futur']",neutral
