,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
0,0,370233926766473_392749417848257,2017-12-11 21:00:25,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392749417848257/?type=3,"Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?! http://ow.ly/inat30h9XzF","Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?!",[],2,0,7,1,1,0,0,0,0,0,9,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,['ice'],neutral
2,2,370233926766473_396995560756976,2017-12-21 08:40:30,https://www.facebook.com/EnvironnementetChangementclimatique/videos/396995560756976/,"Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de 2017 une année catastrophique  pour les cultivateurs et les éleveurs.

Les experts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année 2017 à partir d’une liste de 100 événements importants dans tout le pays. Jetez un coup d’œil : http://ow.ly/z50V30hn2I6","Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de une année catastrophique pour les cultivateurs et les éleveurs. Les eerts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année à partir d’une liste de événements importants dans tout le pays. Jetez un coup d’œil :",[],1,0,6,1,0,0,0,0,0,0,7,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'changement climatique', 'ice', 'inondation', 'or']",neutral
3,3,370233926766473_390322918090907,2017-12-06 14:49:48,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390322918090907/,#CanadaEnChine – Bombardier 🇨🇦 spécialiste en réduction de pollution avec son aéronef novateur #CSeries qui consomme seulement 2 L/100 km de carburant par passager. http://ow.ly/Fk9c30h3Hry #ActionClimatique,– Bombardier 🇨🇦 spécialiste en réduction de pollution avec son aéronef novateur qui consomme seulement L/100 km de carburant par passager.,"['#CanadaEnChine', '#CSeries', '#ActionClimatique']",3,0,3,3,0,0,0,0,0,0,6,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,['pollution'],neutral
4,4,370233926766473_394378127685386,2017-12-15 14:34:41,https://www.facebook.com/EnvironnementetChangementclimatique/videos/394378127685386/,"Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de 1 milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. 

Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.

http://ow.ly/tGE730hfWnA","Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.",[],3,0,2,1,2,0,0,0,0,0,5,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['carbon', 'eau', 'environnement']",neutral
6,6,370233926766473_394064157716783,2017-12-14 23:18:11,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/394064034383462/?type=3,"Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le 15 décembre à 9 h 30 (HNE), suivez en direct sur Facebook pour de plus amples renseignements! https://www.facebook.com/EnvironnementetChangementclimatique/","Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le décembre à h (HNE), suivez en direct sur Facebook pour de plus amples renseignements!",[],4,0,1,2,2,0,0,0,0,0,5,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['carbon', 'eau']",neutral
8,8,370233926766473_390273258095873,2017-12-06 12:08:23,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390273258095873/,"#CanadaenChine – Hydrogenics 🇨🇦 ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission. http://ow.ly/jbhD30h3tgq #ActionClimatique","– Hydrogenics 🇨🇦 ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission.","['#CanadaenChine', '#ActionClimatique']",0,0,5,0,0,0,0,0,0,0,5,Economical,fr,0.0,EnvironnementetChangementclimatique_facebook,['infrastructure'],neutral
11,11,370233926766473_390423974747468,2017-12-06 20:44:56,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/390423844747481/?type=3,"La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.","La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.",[],2,1,1,2,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'durable', 'changement climatique', 'carbon', 'or']",neutral
16,16,370233926766473_397148524075013,2017-12-21 16:20:07,https://www.facebook.com/EnvironnementetChangementclimatique/videos/397148524075013/,"Le 12 décembre, la ministre McKenna a participé à #OnePlanetSummit et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice #ActionClimatique.","Le décembre, la ministre McKenna a participé à et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice .","['#OnePlanetSummit', '#ActionClimatique']",2,0,2,2,0,0,0,0,0,0,4,Economical,fr,0.0,EnvironnementetChangementclimatique_facebook,"['secteur', 'novatrice', 'ministre']",neutral
15,15,370233926766473_392068424583023,2017-12-10 08:40:03,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392068424583023/?type=3,#CanadaEnChine – Mission commerciale de la ministre McKenna sur #TechnologiesPropres : l’entreprise 🇨🇦 #ShellCansolv capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère. http://ow.ly/w1nW30h7XPF #ActionClimatique,– Mission commerciale de la ministre McKenna sur : l’entreprise 🇨🇦 capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère.,"['#CanadaEnChine', '#TechnologiesPropres', '#ShellCansolv', '#ActionClimatique']",0,0,4,0,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['carbon', 'pollution', 'mer']",neutral
10,10,370233926766473_393560777767121,2017-12-13 18:17:01,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/393560777767121/?type=3,"Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de 7 millions de véhicules de la circulation!
Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. 
Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.
http://ow.ly/bmRG30hddEL","Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de millions de véhicules de la circulation! Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.",[],0,0,4,0,0,0,0,0,0,0,4,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['future', 'changement', 'change', 'futur']",neutral
