,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
11,11,922943935298920448,2017-10-24 21:52:36,[],"RT @DFO_Science: Thanks to all female scientists 🔬 – past &amp; present – who contribute to science excellence in Canada #ClaimYourPlace
 https…",RT Thanks female scientists past amp present contribute science excellence Canada ClaimYourPlace,['#ClaimYourPlace'],73,0,73,unknown,fr,-0.012499999999999995,Neutral,DFO_MAR_tweeter,
125,125,918544688185053186,2017-10-12 18:31:34,['https://t.co/mXEPtAUMUz'],DFO’s Harvey Millar releases an Atlantic salmon into its new home to continue its life cycle #SavingSalmon https://t.co/mXEPtAUMUz,Harvey Millar releases Atlantic salmon new home continue life cycle SavingSalmon https co mXEPtAUMUz,['#SavingSalmon'],6,18,24,unknown,en,0.13636363636363635,Neutral,DFO_MAR_tweeter,
151,151,922465488759910401,2017-10-23 14:11:25,['https://t.co/mh0SqM2EOz'],Our scientist Hilary Moors-Murphy is co-chairing this year’s Conference on the Biology of Marine Mammals #SMM2017 https://t.co/mh0SqM2EOz,scientist Hilary Moors Murphy co chairing Conference Biology Marine Mammals SMM2017 https co mh0SqM2EOz,['#SMM2017'],7,15,22,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,"['biology', 'marine', 'or', 'air']"
173,173,918479013412253697,2017-10-12 14:10:35,['https://t.co/gxJTBbA1On'],Our science team transfers salmon from truck to @CCG_GCC helicopter tanks at Inner Bay of Fundy Atlantic salmon release #savingsalmon https://t.co/gxJTBbA1On,science team transfers salmon truck helicopter tanks Inner Bay Fundy Atlantic salmon release savingsalmon https co gxJTBbA1On,['#savingsalmon'],6,14,20,unknown,en,0.0,Neutral,DFO_MAR_tweeter,
422,422,925376985920131078,2017-10-31 15:00:40,['https://t.co/B1HSiPYjST'],Happy Halloween! Check out this spooky spiny lobster larvae https://t.co/B1HSiPYjST,Happy Halloween Check spooky spiny lobster larvae https co B1HSiPYjST,[],4,8,12,unknown,en,1.0,Positive,DFO_MAR_tweeter,
458,458,918478191785922560,2017-10-12 14:07:20,[],RT @FundyNP: The 2017 Salmon Release is underway. We are excited to announce this year is the largest #FundySalmonRecovery release to date.…,RT FundyNP 2017 Salmon Release underway excited announce year largest FundySalmonRecovery release date,['#FundySalmonRecovery'],11,0,11,unknown,en,0.375,Positive,DFO_MAR_tweeter,
497,497,923593834759688193,2017-10-26 16:55:04,['https://t.co/g4rszqLTGl'],SABS biologists on an exploratory Pollock survey in the Bay of Fundy/Gulf of Maine with the Groundfish Enterprise Allocation Council https://t.co/g4rszqLTGl,SABS biologists exploratory Pollock survey Bay Fundy Gulf Maine Groundfish Enterprise Allocation Council https co g4rszqLTGl,[],3,8,11,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['or']
499,499,922576128753192960,2017-10-23 21:31:04,['https://t.co/ZeGGRqbWWk'],"Deputy Minister Catherine Blewett attended @NARWC yesterday in Halifax, Nova Scotia https://t.co/ZeGGRqbWWk",Deputy Minister Catherine Blewett attended NARWC yesterday Halifax Nova Scotia https co ZeGGRqbWWk,[],5,6,11,Economical,en,0.0,Neutral,DFO_MAR_tweeter,['minister']
500,500,922518632541900800,2017-10-23 17:42:36,['https://t.co/6Lh8rleb1f'],"Terry Beech thanks co-chairs, Dr. Hilary Moors-Murphy, and Tonya Wimmer, MARS, and the members of the organizing committee #SMM2017 https://t.co/6Lh8rleb1f",Terry Beech thanks co chairs Dr Hilary Moors Murphy Tonya Wimmer MARS members organizing committee SMM2017 https co 6Lh8rleb1f,['#SMM2017'],4,7,11,Environmental,en,0.2,Neutral,DFO_MAR_tweeter,"['mer', 'or', 'air']"
519,519,918840787227602944,2017-10-13 14:08:09,['https://t.co/SNov3kEFI'],"It is illegal to kill, harm, harass, or capture endangered salmon. Call @CanStopCrime if you suspect illegal activity https://t.co/SNov3kEFIu",illegal kill harm harass capture endangered salmon Call CanStopCrime suspect illegal activity https co SNov3kEFIu,[],3,7,10,unknown,en,-0.5,Negative,DFO_MAR_tweeter,
631,631,920978746701766656,2017-10-19 11:43:38,"['https://t.co/n3BgP6BaLT', 'https://t.co/bxvuEqaLlG']","MPAs are among the many tools that improve health, integrity and productivity of our marine ecosystems https://t.co/n3BgP6BaLT https://t.co/bxvuEqaLlG",MPAs among many tools improve health integrity productivity marine ecosystems https co n3BgP6BaLT https co bxvuEqaLlG,[],3,6,9,Environmental,en,0.5,Positive,DFO_MAR_tweeter,"['ecosystem', 'marine']"
693,693,921067594110644224,2017-10-19 17:36:41,"['https://t.co/4mpWSzOu9G', 'https://t.co/V2ePvALoE7']",We’re looking for a Senior Project Engineer. Want to join a great team? Only one day left to apply https://t.co/4mpWSzOu9G https://t.co/V2ePvALoE7,looking Senior Project Engineer Want join great team one day left apply https co 4mpWSzOu9G https co V2ePvALoE7,[],5,3,8,Environmental,en,0.26666666666666666,Neutral,DFO_MAR_tweeter,['or']
746,746,921035825088991233,2017-10-19 15:30:27,"['https://t.co/eIw92ukHzt', 'https://t.co/BzVCA9X8ng']",#DYK Sea turtles mistake plastic waste for food? Here's how you can help: https://t.co/eIw92ukHzt https://t.co/BzVCA9X8ng,DYK Sea turtles mistake plastic waste food help https co eIw92ukHzt https co BzVCA9X8ng,['#DYK'],3,4,7,unknown,en,-0.2,Neutral,DFO_MAR_tweeter,
755,755,915891260908605440,2017-10-05 10:47:47,['https://t.co/Hn\xe2\x80\xa6'],"RT @CWHCRCSF: Media invited: briefing on @CWHCRCSF #RightWhale report, including necropsy findings. Oct 5, 11 am AT @UPEI. 
https://t.co/Hn…",RT CWHCRCSF Media invited briefing CWHCRCSF RightWhale report including necropsy findings Oct 11 UPEI https co,['#RightWhale'],7,0,7,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['or']
822,822,918840436659249153,2017-10-13 14:06:45,['https://t.co/weLi5Xed2k'],Adult Inner Bay of Fundy Atlantic salmon released into @FundyNP in hopes of rebuilding this iconic endangered population #SavingSalmon https://t.co/weLi5Xed2k,Adult Inner Bay Fundy Atlantic salmon released FundyNP hopes rebuilding iconic endangered population SavingSalmon https co weLi5Xed2k,['#SavingSalmon'],1,5,6,Social,en,0.2,Neutral,DFO_MAR_tweeter,['population']
824,824,918097051585601536,2017-10-11 12:52:49,['https://t\xe2\x80\xa6'],"RT @DFO_MPO: Pleased to be participating with Cdn &amp; int'l experts in the #RightWhale Consortium Annual Meeting in Halifax, Oct 22 https://t…",RT Pleased participating Cdn amp int experts RightWhale Consortium Annual Meeting Halifax Oct 22 https,['#RightWhale'],6,0,6,Environmental,en,0.5,Positive,DFO_MAR_tweeter,['or']
848,848,922510611111661569,2017-10-23 17:10:43,['https://t.co/T7jH8WnVL'],"Parliamentary Secretary @DFO_MPO here at #SMM2017 in Halifax, Nova Scotia https://t.co/T7jH8WnVLd",Parliamentary Secretary SMM2017 Halifax Nova Scotia https co T7jH8WnVLd,['#SMM2017'],1,5,6,unknown,en,0.0,Neutral,DFO_MAR_tweeter,
962,962,921398317828968448,2017-10-20 15:30:52,"['https://t.co/A0yFapO7r7', 'https://t.co/SJVNdOnME']",Has someone you know done something recently to help protect our recreational fisheries? Nominate them! https://t.co/A0yFapO7r7 https://t.co/SJVNdOnME9,someone know done something recently help protect recreational fisheries Nominate https co A0yFapO7r7 https co SJVNdOnME9,[],2,3,5,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['fisheries ']
964,964,922754577270796288,2017-10-24 09:20:09,[],"RT @CCG_GCC: Rigid Hull Inflatable Operator Training took place in #Halifax, Nova Scotia last week. They paced alongside the CCGS Sir Wilfr…",RT Rigid Hull Inflatable Operator Training took place Halifax Nova Scotia last week paced alongside CCGS Sir,['#Halifax'],5,0,5,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['or']
998,998,922970208523997186,2017-10-24 23:37:00,['https://t.\xe2\x80\xa6'],RT @DFO_NL: #DFONL scientists presenting whale &amp; seal research at 2017 Marine Mammal Conference in Halifax @DFO_Science #SMM2017 https://t.…,RT DFONL scientists presenting whale amp seal research 2017 Marine Mammal Conference Halifax SMM2017 https,"['#DFONL', '#SMM2017']",4,0,4,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['marine']
1097,1097,918474759779864576,2017-10-12 13:53:41,['https://t.co/GqTYhljlqF'],RT @FundyNP: Follow along on https://t.co/GqTYhljlqF for a play by play of today’s salmon release in Fundy National Park. #savingsalmon htt…,RT FundyNP Follow along https co GqTYhljlqF play play salmon release Fundy National Park savingsalmon,['#savingsalmon'],3,0,3,Environmental,en,0.0,Neutral,DFO_MAR_tweeter,['park']
1100,1100,921375290479316998,2017-10-20 13:59:22,[],RT @CTVMorningAtl: Thank you to @DFO_MPO biologist Cathy Merriman for joining us to talk about this weekend's Right Whale Consortium. https…,RT CTVMorningAtl Thank biologist Cathy Merriman joining us talk weekend Right Whale Consortium,[],3,0,3,Environmental,en,0.2857142857142857,Neutral,DFO_MAR_tweeter,"['or', 'mer']"
